depth;pointid;oc;th_lat;th_long;survey_date;elev;lc0_desc;lc1_desc;lu1_desc
0-20 cm;148482762;30;47.74578723;17.03536819;03/07/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146722792;21;48.14062552;14.71767565;05/06/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;148122730;18;47.48881664;16.52059488;18/06/2018;0;Cropland;Triticale;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;148202738;12.5;47.5541021;16.63555874;18/06/2018;0;Cropland;Rape and turnip rape;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;148222780;22.9;47.92869563;16.71115772;21/05/2018;0;Cropland;Vineyards;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;148342774;29.1;47.86505893;16.8638522;26/06/2018;0;Cropland;Rape and turnip rape;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;148442784;14.4;47.94615773;17.00926007;11/06/2018;0;Cropland;Rye;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146562790;15.2;48.13164949;14.50151431;07/06/2018;0;Cropland;Temporary grassland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146882650;22.1;46.85630794;14.8119856;19/06/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146782778;31.7;48.01148064;14.78625884;18/07/2018;0;Cropland;Temporary grassland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;148462776;21.8;47.87283272;17.02603165;14/05/2018;0;Cropland;Barley;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147042874;12.7;48.85703064;15.22270532;23/07/2018;0;Cropland;Potatoes;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147362808;18;48.24402118;15.59103822;24/05/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147482810;16.5;48.25366633;15.75417784;24/05/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
