depth;pointid;oc;th_lat;th_long;survey_date;elev;lc0_desc;lc1_desc;lu1_desc
0-20 cm;148482762;30;47.74578723;17.03536819;03/07/18;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146722792;21;48.14062552;14.71767565;05/06/18;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147862690;12.4;47.15023795;16.13421178;06/07/18;0;Woodland;Other coniferous woodland;Forestry
0-20 cm;147882704;16.7;47.27427248;16.17535859;06/07/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;147982688;47.5;47.1232602;16.28969291;02/06/18;0;Woodland;Other mixed woodland;Forestry
0-20 cm;148022702;28.1;47.24569335;16.35750603;06/07/18;0;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;148062708;19.4;47.29637182;16.41678159;05/07/18;0;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;148122730;18;47.48881664;16.52059488;18/06/18;0;Cropland;Triticale;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;148202738;12.5;47.5541021;16.63555874;18/06/18;0;Cropland;Rape and turnip rape;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;148222780;22.9;47.92869563;16.71115772;21/05/18;0;Cropland;Vineyards;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;148342774;29.1;47.86505893;16.8638522;26/06/18;0;Cropland;Rape and turnip rape;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;148442784;14.4;47.94615773;17.00926007;11/06/18;0;Cropland;Rye;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146562790;15.2;48.13164949;14.50151431;07/06/18;0;Cropland;Temporary grassland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146662780;37.3;48.03630958;14.62738906;18/05/18;0;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146662794;41.2;48.16199724;14.63886538;05/06/18;0;Woodland;Broadleaved woodland;Forestry
0-20 cm;146882650;22.1;46.85630794;14.8119856;19/06/18;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146782766;169.8;47.90375685;14.77615139;18/05/18;0;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;146782778;31.7;48.01148064;14.78625884;18/07/18;0;Cropland;Temporary grassland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146842852;38.3;48.67205479;14.93110419;29/06/18;0;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146862842;30.6;48.5811226;14.94929368;09/06/18;0;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146942756;79.9;47.80449646;14.98089168;08/05/18;0;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;129482428;57.2;43.54183166;-7.113207482;18/07/18;0;Woodland;Broadleaved woodland;Forestry
0-20 cm;148462776;21.8;47.87283272;17.02603165;14/05/18;0;Cropland;Barley;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146942846;72.3;48.61213016;15.06110589;01/08/18;0;Woodland;Other coniferous woodland;Forestry
0-20 cm;146942878;45.3;48.89920109;15.09042334;24/07/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;146982766;33.9;47.89181128;15.04300695;24/05/18;0;Woodland;Broadleaved woodland;Forestry
0-20 cm;147002806;55.2;48.24952676;15.10565784;27/06/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;147002816;114.6;48.33925149;15.11475237;27/06/18;0;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;147022848;21;48.62508246;15.17119945;28/07/18;0;Bareland;Other bare soil;Agriculture (excluding fallow land and kitchen gardens)
